seconds,points,two_p,two_pm,value
4684,32,10,6,36
9169,58,29,11,24
3201,13,7,4,10
9155,34,16,5,52
8396,55,42,22,57
1908,2,2,0,1
9166,47,46,19,24
2533,9,7,4,-3
1791,17,7,4,10
3799,16,6,2,18
3698,23,16,7,14
6654,47,19,10,71
530,0,1,0,2
1645,5,5,2,-6
8332,45,31,13,54
5774,22,16,9,26
6072,62,24,12,78
5312,40,22,7,18
3170,19,5,1,29
2558,10,2,2,7
8095,56,8,3,41
4435,26,6,2,21
3849,22,19,7,16
6286,37,31,11,33
4472,27,11,7,32
5678,46,13,8,64
7694,35,12,4,26
5427,33,18,8,27
5191,29,21,12,25
5480,25,15,5,27
4363,15,5,2,34
5225,46,9,6,49
4354,25,18,5,14
3627,33,21,11,18
4491,30,14,9,27
6238,58,22,13,60
2232,29,16,8,25
6626,51,18,8,30
7437,49,19,10,40
6757,27,21,9,19
7328,69,23,9,80
7991,39,24,10,45
7502,48,34,13,38
230,0,0,0,-1
3722,27,18,12,40
6244,38,38,18,43
6093,42,24,14,34
8608,33,11,4,28
3462,11,12,4,11
3,0,0,0,0
7009,28,14,4,26
8501,26,12,4,60
7135,59,48,25,52
5936,26,5,3,21
4349,5,4,2,8
9984,61,23,12,63
8978,77,38,20,73
3740,24,29,12,17
234,0,0,0,-2
7481,41,18,7,11
8650,87,27,19,113
403,2,2,1,-3
2708,11,8,4,5
7711,59,17,11,32
9751,50,27,12,88
8877,73,49,31,95
1427,7,5,2,12
9988,61,27,8,50
9037,52,24,17,73
2809,14,8,3,6
5355,36,22,14,55
5047,38,13,6,40
7432,48,20,10,24
2955,20,2,1,11
9154,79,23,12,63
9720,41,17,8,61
1544,6,4,1,14
7403,54,44,21,51
6059,64,27,14,59
7787,54,29,15,55
6670,16,12,6,24
360,0,0,0,-1
5903,57,38,23,67
10252,53,11,6,75
1872,8,4,1,0
5276,37,7,5,27
8896,64,40,19,82
3363,13,7,6,18
8973,49,26,15,60
7453,63,13,7,65
4691,27,11,2,17
280,0,0,0,-1
3772,35,22,14,44
5963,31,19,10,29
8944,48,10,7,63
3725,30,22,12,39
4852,21,15,7,11
7503,72,53,30,95
520,0,0,0,-4
3065,21,13,7,28
6431,41,12,4,47
9136,63,31,20,78
4593,40,18,10,36
8510,59,45,23,66
9075,53,25,15,64
6567,42,33,19,48
1796,7,4,1,6
7264,39,28,17,58
8780,40,22,9,30
4431,17,13,7,24
5417,35,27,13,29
1947,10,7,2,8
2142,12,11,5,13
7264,41,14,7,34
8136,29,8,1,-5
7108,46,17,9,42
5904,49,25,6,46
1077,0,0,0,-6
669,3,1,0,0
8685,31,20,9,35
8609,76,45,25,71
6891,38,27,13,36
6596,60,19,11,77
2152,11,6,4,11
3361,19,13,7,9
1459,4,2,1,6
7527,40,12,5,46
8501,62,33,18,68
6871,19,11,4,23
8349,80,35,23,110
3155,24,13,6,18
1137,5,1,1,1
5327,34,25,15,26
9882,40,23,11,50
3830,19,6,4,24
10834,98,57,36,126
6587,50,19,9,41
7330,45,24,18,55
6039,25,14,6,24
879,2,4,1,-1
4524,17,8,4,21
1597,1,3,0,-3
6148,40,28,12,32
7603,67,21,13,89
10493,49,32,14,63
4674,24,20,8,14
10059,84,21,16,77
2009,20,18,10,9
5362,46,23,14,41
2531,31,16,11,30
2752,28,8,5,27
7242,27,5,2,28
5114,12,7,2,19
12334,97,71,32,91
3737,13,7,5,13
9742,63,29,16,61
4598,25,18,8,33
380,0,0,0,-2
8471,76,48,31,93
10795,85,30,12,42
2629,0,0,0,-7
6399,23,9,2,19
520,10,2,2,9
39,0,0,0,0
9178,59,10,7,72
3962,19,18,9,21
7174,46,30,20,90
8707,63,23,11,39
6611,40,37,18,23
9468,67,37,20,85
7796,45,9,2,24
5283,25,11,2,14
4858,40,13,6,21
10227,62,39,17,90
236,0,0,0,0
8044,71,32,15,81
2736,27,11,7,17
11720,71,51,19,66
9890,40,16,3,40
155,0,0,0,0
93,2,0,0,2
8960,59,41,24,81
7012,61,29,17,49
8777,46,17,10,41
3488,10,8,5,14
2875,7,8,3,0
6320,33,14,7,44
1930,8,8,2,4
395,2,2,1,4
9268,57,40,14,49
7831,52,31,17,41
9005,57,19,9,77
7834,70,42,26,73
7523,56,5,3,31
9353,40,16,8,32
8864,70,47,29,100
4927,24,14,8,27
2780,11,9,5,14
4220,31,5,3,38
5459,23,13,6,26
6747,44,11,5,38
8965,76,27,15,78
8346,59,31,21,64
589,1,2,0,4
1014,4,2,1,5
9553,58,42,19,73
6584,56,34,24,87
7374,50,27,14,47
3600,26,8,5,21
6179,34,10,4,39
6419,42,21,16,60
420,1,3,0,-2
541,0,0,0,0
210,0,0,0,1
7472,48,15,5,44
4335,45,14,8,38
3306,12,12,5,6
6113,36,17,12,42
7265,63,39,20,76
7796,64,34,17,74
5692,38,29,15,53
36,0,0,0,0
6621,41,17,8,24
7908,58,16,8,74
6697,52,34,17,80
4075,40,26,17,41
4684,32,10,6,36
10346,67,33,14,32
4661,13,7,4,6
11122,42,21,7,60
10266,75,51,28,82
2401,4,4,1,5
11034,60,55,22,43
2861,9,7,4,-3
2035,18,7,4,10
5652,30,11,6,33
4438,23,18,7,10
6654,47,19,10,71
530,0,1,0,2
2107,7,6,3,-3
9928,53,34,15,68
7207,27,22,11,32
7165,69,28,15,83
6687,52,30,10,31
3508,21,6,2,32
3362,13,6,3,9
9262,66,9,4,44
5114,26,7,2,18
3982,22,20,7,17
7823,45,35,12,39
5855,34,15,10,40
6548,52,14,8,70
