seconds,points,assists,rebounds,value
269,2,1,0,10
300,2,2,0,14
180,1,0,0,4
21,0,0,0,0
330,0,1,0,8
269,-1,0,0,5
333,2,2,0,12
294,2,2,0,17
389,1,2,0,13
348,0,0,0,5
299,4,2,0,16
175,-1,0,0,1
85,0,0,0,2
319,1,1,-1,7
252,2,2,-1,13
433,0,1,-1,10
332,-1,0,-1,2
299,1,1,-1,7
257,1,1,-1,10
351,1,1,-1,10
43,0,0,-1,2
82,-1,0,-1,0
181,0,0,-1,4
245,0,0,0,3
223,-2,0,0,2
334,4,2,0,17
351,3,2,0,15
270,2,1,0,10
197,1,1,0,7
161,1,0,0,4
233,1,2,0,13
139,-1,0,0,0
346,1,1,0,6
245,-1,0,-1,0
317,-2,0,-1,0
310,1,2,-1,12
133,-1,0,-1,0
108,-2,0,-1,0
402,2,1,-1,10
287,3,2,-1,17
88,0,0,-1,2
330,0,2,-1,17
330,2,2,-1,15
350,2,1,0,11
78,0,0,0,0
51,-1,0,0,0
181,0,0,0,2
320,0,2,0,12
246,2,2,0,13
81,0,0,0,3
231,1,0,0,5
287,1,1,0,11
365,0,1,0,10
312,2,1,0,9
76,-1,0,0,0
351,0,0,0,5
288,3,2,0,14
96,-1,0,0,2
321,1,1,0,7
182,-1,0,0,0
234,0,1,0,8
220,2,1,0,6
231,1,1,0,10
325,1,3,0,19
164,0,1,0,6
246,-1,0,-1,3
186,0,1,-1,7
344,2,2,-1,18
253,-1,0,-1,4
257,1,1,-1,10
224,0,0,-1,5
293,1,1,-1,8
44,-1,0,-1,0
211,1,1,-1,10
246,2,2,0,19
44,-1,0,0,0
315,1,1,0,8
268,0,1,0,8
237,2,1,0,11
86,0,0,0,2
194,2,1,0,12
288,1,1,0,9
366,1,1,0,13
190,0,0,-1,5
60,-1,0,-1,0
271,1,1,-1,8
232,4,2,-1,20
201,2,1,-1,12
133,0,0,-1,2
186,1,1,-1,9
5,0,0,-1,0
159,1,1,-1,11
248,1,1,-1,10
257,3,1,-1,11
122,0,0,-1,2
3,0,0,0,0
230,-1,0,0,5
291,1,1,0,13
230,0,0,0,3
211,1,2,0,16
274,0,1,0,9
270,0,0,0,3
234,1,1,0,8
181,-1,0,0,2
145,0,0,0,6
148,1,1,-1,9
250,3,2,-1,17
166,0,0,-1,4
228,2,2,-1,14
283,2,2,-1,15
15,-1,0,-1,0
166,0,0,-1,3
135,-2,0,-1,0
124,-2,0,-1,2
12,-1,0,-1,0
269,1,1,-1,7
273,0,0,-1,4
268,1,0,0,6
364,1,1,0,10
36,0,0,0,2
324,1,1,0,9
85,-1,0,0,0
99,-1,0,0,1
35,-1,0,0,0
259,2,2,0,17
326,0,1,0,11
26,-2,0,0,0
244,0,1,0,7
255,1,1,-1,7
61,-1,0,-1,2
210,0,0,-1,2
178,1,0,-1,6
211,-2,0,-1,3
204,1,1,-1,8
120,0,0,-1,3
178,-1,0,-1,5
201,1,1,-1,10
177,4,2,-1,20
144,0,1,-1,9
132,-1,0,-1,1
256,2,2,0,14
230,1,1,0,10
339,0,0,0,3
176,1,1,0,12
210,-1,0,0,0
114,-1,0,0,2
181,-1,0,0,4
161,-1,0,0,2
126,0,1,0,10
145,-1,0,0,0
127,-1,0,0,0
180,0,0,-1,3
155,0,1,-1,8
268,1,2,-1,15
222,0,0,-1,4
36,-1,0,-1,0
117,1,0,-1,3
15,0,0,-1,0
230,-1,0,-1,0
165,1,0,-1,4
265,3,2,-1,20
247,3,2,-1,17
157,1,1,-1,10
247,1,1,-1,10
329,1,2,-1,15
167,0,0,-1,0
267,0,0,-1,3
54,0,0,-1,0
44,0,1,-1,8
152,0,0,-1,2
99,-1,0,-1,0
314,2,2,-1,17
64,0,0,-1,2
333,2,1,-1,11
210,-1,0,0,0
250,2,1,0,9
233,0,1,0,11
161,0,1,0,8
301,2,2,0,15
186,0,1,0,11
225,1,1,0,10
106,-2,0,0,0
139,-1,0,0,6
263,2,2,0,14
263,1,1,-1,13
305,2,1,-1,10
91,0,0,-1,5
153,-1,0,-1,1
157,1,1,-1,10
177,1,1,-1,7
147,0,0,-1,0
225,1,1,-1,11
322,2,2,-1,14
50,-1,0,-1,0
178,2,1,-1,10
274,1,1,-1,9
193,2,1,-1,12
248,1,1,-1,11
111,-1,0,-1,0
137,0,1,-1,8
159,0,0,-1,2
165,0,0,-1,2
303,0,1,-1,7
300,2,2,-1,15
176,1,1,-1,13
272,-1,1,0,9
18,0,0,0,0
160,-1,0,0,2
302,1,0,0,5
139,1,0,0,6
113,-1,0,0,1
334,3,2,0,17
75,-2,0,0,0
166,0,0,0,5
336,0,1,0,7
152,0,1,0,10
305,3,3,-1,21
189,0,0,-1,4
172,0,1,-1,7
301,2,1,-1,13
111,-1,0,-1,0
156,1,1,-1,8
262,1,0,-1,3
219,0,1,-1,7
243,0,1,-1,8
94,0,0,-1,2
136,1,0,0,3
306,1,1,0,12
181,0,1,0,8
286,1,1,0,13
304,0,0,0,4
123,-2,0,0,3
216,1,1,0,8
295,2,3,0,21
171,0,1,0,9
117,-2,0,0,0
178,1,2,0,14
306,-1,0,0,0
171,1,1,0,7
114,-1,0,0,5
284,2,2,0,14
49,-1,0,0,0
212,0,0,0,6
289,1,2,0,16
